year,cname,cowcode,ccodewb,creation,reform,direction,increase,decrease,regional,lvau_garriga,lvaw_garriga,cuk_ceo,cuk_obj,cuk_pol,cuk_limlen,lvaw_garriga_diff
1995,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1996,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1997,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1998,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
1999,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2000,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2001,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2002,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2003,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2004,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2005,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2006,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2007,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2008,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2009,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2010,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2011,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2012,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2013,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2014,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2015,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2016,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2017,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2018,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2019,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2020,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2021,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2022,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
2023,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,1
1970,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1971,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1972,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1973,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1974,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1975,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1976,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1977,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1978,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1979,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1980,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1981,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1982,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1983,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1984,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1985,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1986,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1987,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1988,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1989,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1990,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1991,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1992,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1993,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1994,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1995,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1996,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1997,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,0
1998,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,1
1999,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,1
2000,Canada,20,124,0,0,0,0,0,0,0.417,0.451,0.833,0.200,0.183,0.454,1
2001,Canada,20,124,0,1,1,1,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2002,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2003,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2004,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2005,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2006,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2007,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2008,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2009,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2010,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2011,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2012,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2013,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2014,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2015,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2016,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2017,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2018,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2019,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2020,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2021,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2022,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
2023,Canada,20,124,0,0,0,0,0,0,0.478,0.472,0.833,0.400,0.268,0.412,1
1973,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1974,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1975,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1976,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1977,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1978,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1979,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1980,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1981,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1982,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1983,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1984,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1985,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1986,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1987,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1988,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1989,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1990,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1991,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,0
1992,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1993,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1994,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1995,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1996,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1997,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1998,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
1999,Bahamas,31,44,0,0,0,0,0,0,0.388,0.399,0.458,0.600,0.083,0.410,1
2000,Bahamas,31,44,0,1,-1,0,1,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2001,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2002,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2003,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2004,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2005,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2006,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2007,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2008,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2009,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2010,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2011,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2012,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2013,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2014,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2015,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2016,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2017,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2018,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2019,Bahamas,31,44,0,0,0,0,0,0,0.384,0.391,0.458,0.600,0.083,0.395,1
2020,Bahamas,31,44,0,1,1,1,0,0,0.574,0.727,0.645,0.400,0.250,1.000,1
2021,Bahamas,31,44,0,0,0,0,0,0,0.574,0.727,0.645,0.400,0.250,1.000,1
2022,Bahamas,31,44,0,0,0,0,0,0,0.574,0.727,0.645,0.400,0.250,1.000,1
2023,Bahamas,31,44,0,0,0,0,0,0,0.574,0.727,0.645,0.400,0.250,1.000,1
1970,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1971,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1972,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1973,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1974,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1975,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1976,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1977,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1978,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1979,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1980,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1981,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1982,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1983,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1984,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1985,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1986,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1987,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1988,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1989,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1990,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1991,Cuba,40,192,0,0,0,0,0,0,,,,,,,0
1992,Cuba,40,192,0,0,0,0,0,0,,,,,,,1
1993,Cuba,40,192,0,0,0,0,0,0,,,,,,,1
1994,Cuba,40,192,0,0,0,0,0,0,,,,,,,1
1995,Cuba,40,192,0,0,0,0,0,0,,,,,,,1
1996,Cuba,40,192,0,0,0,0,0,0,,,,,,,1
1997,Cuba,40,192,0,1,1,1,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
1998,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
1999,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2000,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2001,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2002,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2003,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2004,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2005,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2006,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2007,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2008,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2009,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2010,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2011,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2012,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2013,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2014,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2015,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2016,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2017,Cuba,40,192,0,0,0,0,0,0,0.271,0.198,0.250,0.600,0.168,0.066,1
2018,Cuba,40,192,0,1,1,1,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
2019,Cuba,40,192,0,0,0,0,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
2020,Cuba,40,192,0,0,0,0,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
2021,Cuba,40,192,0,0,0,0,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
2022,Cuba,40,192,0,0,0,0,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
2023,Cuba,40,192,0,0,0,0,0,0,0.303,0.262,0.250,0.600,0.168,0.193,1
1979,Haiti,41,332,1,1,1,1,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1980,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1981,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1982,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1983,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1984,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1985,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1986,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1987,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1988,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1989,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1990,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1991,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,0
1992,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1993,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1994,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1995,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1996,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1997,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1998,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1999,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2000,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2001,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2002,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2003,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2004,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2005,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2006,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2007,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2008,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2009,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2010,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2011,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2012,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2013,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2014,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2015,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2016,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2017,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2018,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2019,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2020,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2021,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2022,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
2023,Haiti,41,332,0,0,0,0,0,0,0.476,0.376,0.520,0.400,0.800,0.183,1
1970,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1971,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1972,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1973,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1974,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1975,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1976,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1977,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1978,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1979,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1980,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1981,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1982,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1983,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1984,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1985,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1986,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1987,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1988,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1989,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1990,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1991,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,0
1992,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,1
1993,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,1
1994,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,1
1995,Dominican Republic,42,214,0,0,0,0,0,0,0.383,0.371,0.520,0.600,0.083,0.329,1
